potenza, pouvoir
arte pittorica, art pictural
sostenere, soutenir
incoraggia, encourage
qualunque cosa accada, quoiqu'il arrive
a far passare la pillola, faire passer la pilule
Ci viene costantemente ripetuto, qui vous répètent sans cesse
scatto, cliché
prima pagina, la une
scioccato, époque
semplice, simple
udire, entendre
le urla strazianti, les cris stridents
non prestino ascolto, prêts à écouter
è solo una delle tante, une parmis tant d'audres
ha messo seriamente in discussion, a serieusement mis en doute
sarà sempre la migliore, sera surement la meilleure
cogliere, comprendre
scioccanti, choquantes
pongono, posent
